# Stainless-steel reflector
# Groups in energy decreasing order

# Tot
4.67152E-01 9.87940E-01

# Capt
2.52449E-03 1.05899E-01

#  Fiss
0.00000E+00 0.00000E+00

# Chit
0.00000E+00 0.00000E+00

#  Chip
0.00000E+00 0.00000E+00

#  Chid
0.00000E+00 0.00000E+00

#  Nubar
0.00000E+00 0.00000E+00

#  Kappa
0.00000E+00 0.00000E+00

#  Invv
4.53849E-08 2.18142E-06

#  S0
4.64346E-01 4.79398E-03
2.80046E-04 8.77221E-01

# beta
8.86440E-05 6.75625E-04 5.37368E-04 1.22693E-03 7.10462E-04 2.50592E-04

# lambda
1.33826E-02 3.08055E-02 1.17003E-01 3.06684E-01 8.78067E-01 2.93788E+00
